,count,trimmed_mean,mean,std,min,q1,median,q3,max,iqr,skew,kurtosis,outlier_lower_3sigma,outlier_upper_3sigma,outlier_lower_quantile,outlier_upper_quantile
norm_x,5655914,0.10569808921738252,0.12545011838232753,0.5832892341312237,-2.392908107102393,-0.38453379957995243,-0.006800774688247712,0.6016465140835042,2.313307085738224,0.9861803136634566,0.0002020988349038817,-1.0272370726979245,-1.6244175840113435,1.8753178207759986,-1.8638042700751374,2.080916984578689
norm_y,5655914,-0.008702691018480282,-0.00986571627589383,0.29046036312508045,-2.953344440398065,-0.21087457385357092,0.0014822103377203325,0.18799390907962663,2.505023025307534,0.39886848293319754,-3.711461861767014e-05,-0.4777261593069822,-0.8812468056511352,0.8615153730993476,-0.8091772982533671,0.7862966334794229
norm_z,5655914,-0.04921073265195375,-0.0613553928993669,0.5076589806447847,-2.7962896912711925,-0.45445559097993,-0.000516915658413447,0.3804269047967571,0.9887229090559936,0.8348824957766872,-0.00013337781708296472,-1.0282241881125198,-1.5843323348337208,1.461621549034987,-1.7067793346449607,1.632750648461788
norm_boxcox_acc_L2,5655914,-0.10708224770038027,-0.13860456113983236,0.5833770565989939,-2.791134301832056,-0.22444858348123653,2.728669827756338e-06,0.1088720499853782,2.37311599975194,0.3333206334666147,-0.000441845912213042,4.376987216487153,-1.8887357309368138,1.6115266086571491,-0.7244295336811586,0.6088530001853003
norm_acc_xy_L2,5655914,-0.04165849230318236,-0.053344968160042056,0.16708819302614392,-0.5742090923244474,-0.15630686048144704,0.0004642755572931225,0.08286680943344975,2.978908627322613,0.2391736699148968,-0.0003657079508851227,0.6749575436767378,-0.5546095472384739,0.4479196109183897,-0.5150673653537923,0.441627314305795
norm_acc_z_abs,5655914,0.005815524323685668,0.005809732989208489,0.3515527822854016,-0.6000220562258396,-0.30477367436556546,-5.99638211884407e-05,0.3215214636442018,2.940733945919129,0.6262951380097672,6.0090187300992955e-06,-1.2555334451407392,-1.0488486138669963,1.0604680798454131,-1.2442163813802163,1.2609641706588526
norm_MET_target,5655914,0.032052424710509266,0.1463871881930274,0.9952978734528488,-0.6465927343079618,-0.6438092737068857,-7.974590183319191e-05,0.3562459487251672,8.850879499123405,1.000055222432053,0.0009245803651132524,8.050044202162287,-2.8395064321655195,3.132280808551574,-2.143892107354965,1.8563287823732466
norm_MET,5655914,0.010684141570169722,0.04879572939767102,0.33176595781760226,-0.2155309114359873,-0.21460309123562857,-2.658196727773031e-05,0.11874864957505571,2.9502931663744683,0.3333517408106843,0.000924580365113334,8.050044202163045,-0.9465021440551358,1.044093602850478,-0.714630702451655,0.6187762607910822
norm_accL2_MET,5655914,-0.008825609243662415,0.020970778266764512,0.41574533345532916,-1.4427763561500908,-0.3848502849900308,-1.6547556999811596e-05,0.2397164827464995,3.0097721049284227,0.6245667677365303,0.0003873705834087074,0.4567650080618356,-1.226265222099223,1.268206778632752,-1.3217004365948264,1.176566634351295
